,,"""Gleditsia triacanthos"", ","""Gleditsia_triacanthos"", ",,,,,
,,"""Ilex crenata"", ","""Ilex_crenata"", ",,,,,
,,"""Ilex glabra"", ","""Ilex_glabra"", ",,,,,
,,"""Ilex verticillata"", ","""Ilex_verticillata"", ",,,,,
,,"""Juglans nigra"", ","""Juglans_nigra"", ",,,,,
,,"""Liquidambar styraciflua"", ","""Liquidambar_styraciflua"", ",,,,,
,,"""Liriodendron tulipifera"", ","""Liriodendron_tulipifera"", ",,,,,
,,"""Maclura pomifera"", ","""Maclura_pomifera"", ",,,,,
,,"""Magnolia soulangeana"", ","""Magnolia_soulangeana"", ",,,,,
,,"""Magnolia tripetala"", ","""Magnolia_tripetala"", ",,,,,
,,"""Magnolia virginiana"", ","""Magnolia_virginiana"", ",,,,,
,,"""Malus NA"", ","""Malus_NA"", ",,,,,
,,"""Malus prunifolia"", ","""Malus_prunifolia"", ",,,,,
,,"""Malus hupehensis"", ","""Malus_hupehensis"", ",,,,,
,,"""Malus toringo"", ","""Malus_toringo"", ",,,,,
,,"""Malus baccata"", ","""Malus_baccata"", ",,,,,
,,"""Morus alba"", ","""Morus_alba"", ",,,,,
,,"""Nyssa sylvatica"", ","""Nyssa_sylvatica"", ",,,,,
,,"""Phellodendron amurense"", ","""Phellodendron_amurense"", ",,,,,
,,"""Pinus rigida"", ","""Pinus_rigida"", ",,,,,
,,"""Pinus wallichiana"", ","""Pinus_wallichiana"", ",,,,,
,,"""Pinus nigra"", ","""Pinus_nigra"", ",,,,,
,,"""Pinus resinosa"", ","""Pinus_resinosa"", ",,,,,
,,"""Platanus occidentalis"", ","""Platanus_occidentalis"", ",,,,,
,,"""Platanus hispanica"", ","""Platanus_hispanica"", ",,,,,
,,"""Prunus persica"", ","""Prunus_persica"", ",,,,,
,,"""Prunus virginiana"", ","""Prunus_virginiana"", ",,,,,
,,"""Prunus yedoensis"", ","""Prunus_yedoensis"", ",,,,,
,,"""Prunus NA"", ","""Prunus_NA"", ",,,,,
,,"""Quercus alba"", ","""Quercus_alba"", ",,,,,
,,"""Quercus palustris"", ","""Quercus_palustris"", ",,,,,
,,"""Quercus cerris"", ","""Quercus_cerris"", ",,,,,
,,"""Quercus bicolor"", ","""Quercus_bicolor"", ",,,,,
,,"""Quercus macrocarpa"", ","""Quercus_macrocarpa"", ",,,,,
,,"""Quercus NA"", ","""Quercus_NA"", ",,,,,
,,"""Quercus ilicifolia"", ","""Quercus_ilicifolia"", ",,,,,
,,"""Quercus coccinea"", ","""Quercus_coccinea"", ",,,,,
,,"""Quercus phellos"", ","""Quercus_phellos"", ",,,,,
,,"""Quercus nigra"", ","""Quercus_nigra"", ",,,,,
,,"""Quercus velutina"", ","""Quercus_velutina"", ",,,,,
,,"""Quercus robur"", ","""Quercus_robur"", ",,,,,
,,"""Robinia pseudoacacia"", ","""Robinia_pseudoacacia"", ",,,,,
,,"""Taxodium distichum"", ","""Taxodium_distichum"", ",,,,,
,,"""Tilia americana"", ","""Tilia_americana"", ",,,,,
,,"""Tilia cordata"", ","""Tilia_cordata"", ",,,,,
,,"""Tilia platyphyllos"", ","""Tilia_platyphyllos"", ",,,,,
,,"""Ulmus americana"", ","""Ulmus_americana"", ",,,,,
,,"""Ulmus NA"", ","""Ulmus_NA"", ",,,,,
,,"""Ulmus glabra"", ","""Ulmus_glabra"", ",,,,,
,,"""Ulmus pumila"", ","""Ulmus_pumila"", ",,,,,
,,"""Ulmus rubra"", ","""Ulmus_rubra"", ",,,,,
,,"""Ulmus parvifolia"", ","""Ulmus_parvifolia"", ",,,,,
